"","sample_size","effect_size","power"
"600",3.14645555985806,2.58,0.7
"601",3.13368780390888,2.59,0.7
"602",3.121077832405,2.6,0.7
"603",3.10862310212072,2.61,0.7
"604",3.0963211192754,2.62,0.7
"605",3.08416943809956,2.63,0.7
"606",3.07216565940366,2.64,0.7
"607",3.06030742914971,2.65,0.7
"608",3.04857459902282,2.66,0.7
"609",3.03702652120461,2.67,0.7
"610",3.02558354329138,2.68,0.7
"611",3.0142951253135,2.69,0.7
"612",3.00309425950602,2.7,0.7
"613",2.99208827313031,2.71,0.7
"614",2.98118673776649,2.72,0.7
"615",2.97041356622444,2.73,0.7
"616",2.95976681291933,2.74,0.7
"617",2.94924457225699,2.75,0.7
"618",2.93884497777207,2.76,0.7
"619",2.92856620127062,2.77,0.7
"620",2.91840645197655,2.78,0.7
"621",2.90836397568107,2.79,0.7
"622",2.89843705389495,2.8,0.7
"623",2.88862400300262,2.81,0.7
"624",2.8789231734208,2.82,0.7
"625",2.8693329487451,2.83,0.7
"626",2.8597907097675,2.84,0.7
"627",2.85041697425055,2.85,0.7
"628",2.84114918515234,2.86,0.7
"629",2.83198585041247,2.87,0.7
"630",2.82292352838042,2.88,0.7
"631",2.81395388778187,2.89,0.7
"632",2.80508314405746,2.9,0.7
"633",2.79630983929699,2.91,0.7
"634",2.78763254138882,2.92,0.7
"635",2.77904984349163,2.93,0.7
"636",2.77056036351811,2.94,0.7
"637",2.76216274363052,2.95,0.7
"638",2.75385564974766,2.96,0.7
"639",2.74563777106564,2.97,0.7
"640",2.73750781957691,2.98,0.7
"641",2.72946452962474,2.99,0.7
"642",2.72150665744386,3,0.7
"643",2.71363298072325,3.01,0.7
"644",2.70584229817643,3.02,0.7
"645",2.69813342912169,3.03,0.7
"646",2.69050521307173,3.04,0.7
"647",2.68295650933282,3.05,0.7
"648",2.67548619661301,3.06,0.7
"649",2.66809317263953,3.07,0.7
"650",2.66077663264325,3.08,0.7
"651",2.65351709280803,3.09,0.7
"652",2.64637420471453,3.1,0.7
"653",2.63927340967904,3.11,0.7
"654",2.63226057898047,3.12,0.7
"655",2.62529925694592,3.13,0.7
"656",2.61841760128564,3.14,0.7
"657",2.61160479546549,3.15,0.7
"658",2.6048601782601,3.16,0.7
"659",2.59818304168594,3.17,0.7
"660",2.59157494827713,3.18,0.7
"661",2.58503005531419,3.19,0.7
"662",2.57852180753135,3.2,0.7
"663",2.57210263493667,3.21,0.7
"664",2.56577901510566,3.22,0.7
"665",2.55948675048725,3.23,0.7
"666",2.55325548310082,3.24,0.7
"667",2.54708462705976,3.25,0.7
"668",2.54097513804387,3.26,0.7
"669",2.53492306285603,3.27,0.7
"670",2.52890611690828,3.28,0.7
"671",2.52300662581948,3.29,0.7
"672",2.5171170174678,3.3,0.7
"673",2.51128876261454,3.31,0.7
"674",2.50551643000423,3.32,0.7
"675",2.49980053675011,3.33,0.7
"676",2.49413934146264,3.34,0.7
"677",2.4885303337794,3.35,0.7
"678",2.48295348584939,3.36,0.7
"679",2.477483273679,3.37,0.7
"680",2.47201911652712,3.38,0.7
"681",2.46661126876737,3.39,0.7
"682",2.46125524804849,3.4,0.7
"683",2.45594898913363,3.41,0.7
"684",2.45069115462301,3.42,0.7
"685",2.4454814640167,3.43,0.7
"686",2.44029892795598,3.44,0.7
"687",2.4352172819706,3.45,0.7
"688",2.43013753230412,3.46,0.7
"689",2.42510928535336,3.47,0.7
"690",2.42012801555623,3.48,0.7
"691",2.41519174473689,3.49,0.7
"692",2.41029310662409,3.5,0.7
"693",2.4054502961447,3.51,0.7
"694",2.40062140115318,3.52,0.7
"695",2.39589269888832,3.53,0.7
"696",2.39116118316006,3.54,0.7
"697",2.38647650876553,3.55,0.7
"698",2.38183436961217,3.56,0.7
"699",2.37723296353579,3.57,0.7
